archivo,fila,columna,tau,error_rms,error_relativo
IMG_20250612_173002.jpg,5,7,0.0935321829395607,0.024080481894754424,0.24736797992584725
IMG_20250612_173002.jpg,6,0,0.4515830825942015,0.00982503017257684,0.4596319865070086
IMG_20250612_173002.jpg,6,1,0.4043981417760267,0.008256227118966761,0.37155158046229175
IMG_20250612_173002.jpg,6,2,0.5637054390734689,0.005672064737418471,0.4222988685394856
IMG_20250612_173002.jpg,6,3,0.2364821961768345,0.012496753762708398,0.32786781573476287
IMG_20250612_173002.jpg,6,4,0.369731634674583,0.012076230474036543,0.4532773372274065
IMG_20250612_173002.jpg,6,5,0.43861004525261066,0.011817424707686848,0.49686379374986067
IMG_20250612_173002.jpg,6,6,0.1037141779071478,0.03145771767714504,0.3337435654191201
IMG_20250612_173002.jpg,6,7,0.12055397790664203,0.02991064923737416,0.3585867641461564
IMG_20250612_173002.jpg,7,0,0.2724060652883271,0.010482434780030985,0.31345207609629766
IMG_20250612_173002.jpg,7,1,0.17895487478234143,0.00821475871646564,0.17793228066076802
IMG_20250612_173002.jpg,7,2,0.719244347883992,0.004460838227394514,0.48047582224383917
IMG_20250612_173002.jpg,7,3,0.23392094039986822,0.010970494888533066,0.3211849380916388
IMG_20250612_173002.jpg,7,4,0.3961001260553031,0.013225408927415198,0.4946533371010298
IMG_20250612_173002.jpg,7,5,0.5497299253199653,0.011919588440742384,0.5710386959285516
IMG_20250612_173002.jpg,7,6,0.3473624902488852,0.01620118994895146,0.5051317151060812
IMG_20250612_173002.jpg,7,7,0.1197382097933973,0.03628335661625459,0.409962193838339
IMG_20260425_184934.jpg,0,0,0.06446933013823396,0.013024190310509639,0.07649082529923307
IMG_20260425_184934.jpg,0,1,0.08618240660844705,0.011811391052830762,0.09398447204202416
IMG_20260425_184934.jpg,0,2,0.10077588155803945,0.01019826786669115,0.09701173205368835
IMG_20260425_184934.jpg,0,3,0.0666861087505576,0.012272711019091522,0.07786306903426417
IMG_20260425_184934.jpg,0,4,0.08685183721836309,0.013654007321104226,0.10727954632891484
IMG_20260425_184934.jpg,0,5,0.0708812559458448,0.02181659937568643,0.14066863128712725
IMG_20260425_184934.jpg,0,6,0.05384972473434067,0.021240812437092558,0.1057761497828507
IMG_20260425_184934.jpg,0,7,0.055329549017143397,0.019639678569422052,0.10045182625550343
IMG_20260425_184934.jpg,1,0,0.05944672867781516,0.02073125501701285,0.1124909481150049
IMG_20260425_184934.jpg,1,1,0.11218726224153858,0.015266404770163597,0.1509041411605651
IMG_20260425_184934.jpg,1,2,0.40887562552766615,0.006720077617634038,0.26567325306045725
IMG_20260425_184934.jpg,1,3,0.2436434622250515,0.012230249418742333,0.2640751966677522
IMG_20260425_184934.jpg,1,4,0.07592718204791302,0.011191602095031188,0.0797612289388207
IMG_20260425_184934.jpg,1,5,0.03631851777185493,0.017252628517847587,0.058174857268605315
IMG_20260425_184934.jpg,1,6,0.04915988080003817,0.015602394510584702,0.0704445215027126
IMG_20260425_184934.jpg,1,7,0.13248935042072543,0.010933911962853619,0.13456806086121617
IMG_20260425_184934.jpg,2,0,0.044371272147424465,0.024330214249238796,0.09910698534982834
IMG_20260425_184934.jpg,2,1,0.09639345217985461,0.019253885873433185,0.1645467090581626
IMG_20260425_184934.jpg,2,2,0.2019414656923025,0.011269736253414103,0.20572993792513455
IMG_20260425_184934.jpg,2,3,0.1505118613304445,0.021586665101878674,0.2691697347410043
IMG_20260425_184934.jpg,2,4,0.1609873567136907,0.01335901664409684,0.1916099904112692
IMG_20260425_184934.jpg,2,5,0.19001556809400588,0.010362833374816475,0.1816381481629638
IMG_20260425_184934.jpg,2,6,0.08018679378724461,0.012651574836555017,0.09561597542894286
IMG_20260425_184934.jpg,2,7,0.10621789978692268,0.010906999022193555,0.10898924205526775
IMG_20260425_184934.jpg,3,0,0.06509411798964315,0.02097045044522972,0.12502992935164442
IMG_20260425_184934.jpg,3,1,0.09182313129437007,0.016482955893185793,0.14219254850559246
IMG_20260425_184934.jpg,3,2,0.11934005257554485,0.010554638730611382,0.13686356354578919
IMG_20260425_184934.jpg,3,3,0.09691225594876834,0.01829078899677298,0.17517519037672427
IMG_20260425_184934.jpg,3,4,0.11655850592720124,0.014218287841375687,0.1560125830611826
IMG_20260425_184934.jpg,3,5,0.13787010650764847,0.012700172778687135,0.16203044479243148
IMG_20260425_184934.jpg,3,6,0.1758773207316608,0.010759952310181488,0.172811763655672
IMG_20260425_184934.jpg,3,7,0.17369200425821696,0.009682845893377416,0.15518780609302552
IMG_20260425_184934.jpg,4,0,0.07048448819854011,0.019542596128451734,0.12743854530629983
IMG_20260425_184934.jpg,4,1,0.06668864754535997,0.02564876536413807,0.15362149517656573
IMG_20260425_184934.jpg,4,2,0.08740445348511137,0.020280958534513973,0.16317618559680436
IMG_20260425_184934.jpg,4,3,0.12510291439638835,0.014300876036006752,0.1725876477998048
IMG_20260425_184934.jpg,4,4,0.24890798498551236,0.00909061895269798,0.2472206277885911
IMG_20260425_184934.jpg,4,5,0.2002615138073049,0.006314379966804369,0.1462549974762351
IMG_20260425_184934.jpg,4,6,0.1288832381363197,0.008738509185133475,0.11821333029480924
IMG_20260425_184934.jpg,4,7,0.13526073130925895,0.009317415336535432,0.12692829396778685
IMG_20260425_184934.jpg,5,0,0.058909592361183094,0.025071585234828855,0.13500285003281629
IMG_20260425_184934.jpg,5,1,0.0586767088872844,0.02470843344308902,0.133291490404246
IMG_20260425_184934.jpg,5,2,0.0662191011526604,0.023973388686633266,0.14424322450607857
IMG_20260425_184934.jpg,5,3,0.07569652713573542,0.02009747766286904,0.14044435881455491
IMG_20260425_184934.jpg,5,4,0.13268338404418778,0.012554521820413174,0.16993411715223156
IMG_20260425_184934.jpg,5,5,0.4707621181229626,0.006456518173865119,0.2970489378631865
IMG_20260425_184934.jpg,5,6,0.8408841093669008,0.005103559549907541,0.5569031644700498
IMG_20260425_184934.jpg,5,7,0.05572336045088524,0.012352402798414892,0.08126059125370252
IMG_20260425_184934.jpg,6,0,0.0586321820868841,0.030659328018066492,0.159224821725386
IMG_20260425_184934.jpg,6,1,0.05401286119573738,0.020904929687954987,0.11076032548066772
IMG_20260425_184934.jpg,6,2,0.061415350185911606,0.020747730986674803,0.12175564263587205
IMG_20260425_184934.jpg,6,3,0.07377613807248855,0.020719211340919086,0.14020494148042584
IMG_20260425_184934.jpg,6,4,0.08159557133987666,0.016944500086150446,0.1315472805390793
IMG_20260425_184934.jpg,6,5,0.4582489740562902,0.008031234224729065,0.3452531947279194
IMG_20260425_184934.jpg,6,6,0.2264672050736281,0.007181041161086362,0.15859022475650153
IMG_20260425_184934.jpg,6,7,0.15122815743492657,0.00781255135734936,0.11724306315537122
